benchmark	scope	floor_offset	model_s	model_t	current_policy_offset_s	current_policy_offset_t	metric	f_point
anli_r1	all	1.0	qwen2.5-3b-instruct	qwen2.5-7b-instruct	0.2937333440123824	0.3604753186543581	F_attr	0.3709366977772229
anli_r1	all	1.0	qwen2.5-3b-instruct	qwen2.5-14b-instruct	0.2937333440123824	0.4410736180027607	F_pred	0.4762025130514635
anli_r1	all	1.0	qwen2.5-3b-instruct	qwen2.5-14b-instruct	0.2937333440123824	0.4410736180027607	F_attr	0.46560075120118705
anli_r1	all	1.0	qwen2.5-3b-instruct	llama3.1-70b-instruct	0.2937333440123824	0.1862501907348633	F_pred	0.4185804097798063
anli_r1	all	1.0	qwen2.5-3b-instruct	llama3.1-70b-instruct	0.2937333440123824	0.1862501907348633	F_attr	0.26655371793677446
anli_r1	all	1.0	qwen2.5-3b-instruct	llama3.3-70b-instruct	0.2937333440123824	0.25875	F_pred	0.3714920813578364
anli_r1	all	1.0	qwen2.5-3b-instruct	llama3.3-70b-instruct	0.2937333440123824	0.25875	F_attr	0.2075841678542326
anli_r1	all	1.0	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	0.2937333440123824	0.315	F_pred	0.4084891042361062
anli_r1	all	1.0	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	0.2937333440123824	0.315	F_attr	0.28846526759457075
anli_r1	all	1.0	qwen2.5-3b-instruct	gpt-4o	0.2937333440123824	0.27375	F_pred	0.38441736767531215
anli_r1	all	1.0	qwen2.5-3b-instruct	gpt-4o	0.2937333440123824	0.27375	F_attr	0.22841020237399234
anli_r1	all	1.0	qwen2.5-3b-instruct	gpt-4-1	0.2937333440123824	0.40750000000000003	F_pred	0.4011103297893608
anli_r1	all	1.0	qwen2.5-3b-instruct	gpt-4-1	0.2937333440123824	0.40750000000000003	F_attr	0.2538150787056672
anli_r1	all	1.0	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	0.2937333440123824	0.19768812179565431	F_pred	0.41949415317888106
anli_r1	all	1.0	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	0.2937333440123824	0.19768812179565431	F_attr	0.15019770290284723
anli_r1	all	1.0	llama-3.1-8b-instruct	qwen2.5-7b-instruct	0.21144701501875876	0.3604753186543581	F_pred	0.5013552424124543
anli_r1	all	1.0	llama-3.1-8b-instruct	qwen2.5-7b-instruct	0.21144701501875876	0.3604753186543581	F_attr	0.30496237079235033
anli_r1	all	1.0	llama-3.1-8b-instruct	qwen2.5-14b-instruct	0.21144701501875876	0.4410736180027607	F_pred	0.4627869949464133
anli_r1	all	1.0	llama-3.1-8b-instruct	qwen2.5-14b-instruct	0.21144701501875876	0.4410736180027607	F_attr	0.3229604584651915
anli_r1	all	1.0	llama-3.1-8b-instruct	llama3.1-70b-instruct	0.21144701501875876	0.1862501907348633	F_pred	0.47338358856016766
anli_r1	all	1.0	llama-3.1-8b-instruct	llama3.1-70b-instruct	0.21144701501875876	0.1862501907348633	F_attr	0.3102310958160284
